,workerid,id,response,sentence_a,sentence_b,shift_a,shift_b,slide_number_in_experiment
250,119,284,7.0,Janet went in a heavy loaded truck from the military to advanced graduate class on the second floor.,Janet went to advanced graduate class on the second floor in a heavy loaded truck from the military.,1.0,0.0,10
251,119,283,4.0,Janet ate at the mall with Emily.,Janet ate with Emily at the mall.,1.0,0.0,11
252,119,351,3.0,Janet chatted about a large raise for the budget for her project during the dedicated internal complaints meeting for speaking with HR about company funding.,Janet chatted during the dedicated internal complaints meeting for speaking with HR about company funding about a large raise for the budget for her project.,1.0,0.0,12
253,119,218,4.0,John built a speed boat for his kind disabled parents.,John built his kind disabled parents a speed boat.,1.0,0.0,13
255,119,358,2.0,Janet went with a large cheap van with space to the crowded folk music concert in the stadium on fourth street.,Janet went to the crowded folk music concert in the stadium on fourth street with a large cheap van with space.,0.0,1.0,15
256,119,91,1.0,Melissa awarded at the ceremony a shiny winning trophy for her performance.,Melissa awarded a shiny winning trophy for her performance at the ceremony.,0.0,1.0,16
257,119,97,1.0,Melissa made for the party fresh vegan muffins with egg substitute.,Melissa made fresh vegan muffins with egg substitute for the party.,0.0,1.0,17
258,119,39,6.0,Melissa made in her kitchen a multilevel sponge cake with pink bows.,Melissa made a multilevel sponge cake with pink bows in her kitchen.,0.0,1.0,18
260,119,342,2.0,Janet discussed about a large annual raise for her project with her new assigned economics team for stock predictions in the company.,Janet discussed with her new assigned economics team for stock predictions in the company about a large annual raise for her project.,1.0,0.0,20
261,119,329,1.0,Janet went in a big heavy loaded truck from the military to advanced economics class in the downtown campus.,Janet went to advanced economics class in the downtown campus in a big heavy loaded truck from the military.,1.0,0.0,21
262,119,482,5.0,John brought up the Chrome browser window with the questionnaire with his information for applying to college.,John brought the Chrome browser window with the questionnaire with his information for applying to college up.,1.0,0.0,22
263,119,11,2.0,Melissa gave at the ceremony a shiny gold winning trophy for her performance.,Melissa gave a shiny gold winning trophy for her performance at the ceremony.,1.0,0.0,23
265,119,493,7.0,John pointed out the intricate design detail on the roof of the cathedral.,John pointed the intricate design detail on the roof of the cathedral out.,0.0,1.0,25
266,119,244,1.0,John showed the Baroque building with the dome by the famous artist to the crowded group from America.,John showed the crowded group from America the Baroque building with the dome by the famous artist.,0.0,1.0,26
267,119,54,1.0,Melissa made for the party a multilevel vanilla cake with her name in green frosting.,Melissa made a multilevel vanilla cake with her name in green frosting for the party.,0.0,1.0,27
268,119,114,1.0,Melissa baked in her kitchen a multilevel cake with her name in green frosting.,Melissa baked a multilevel cake with her name in green frosting in her kitchen.,0.0,1.0,28
272,93,480,7.0,John brought up the glitchy browser window with his information for applying to college.,John brought the glitchy browser window with his information for applying to college up.,0.0,1.0,5
273,93,27,1.0,Melissa saw after the party her old sweet friend from high school.,Melissa saw her old sweet friend from high school after the party.,0.0,1.0,6
274,93,446,7.0,John brought in the nervous guilty suspect from the tech store.,John brought the nervous guilty suspect from the tech store in.,0.0,1.0,7
275,93,367,1.0,Janet chatted about Sheila from the next cubicle on the second floor to her sweet quiet friend in Nebraska.,Janet chatted to her sweet quiet friend in Nebraska about Sheila from the next cubicle on the second floor.,0.0,1.0,8
277,93,96,1.0,Melissa saw in the store her sweet estranged friend from high school.,Melissa saw her sweet estranged friend from high school in the store.,1.0,0.0,10
278,93,227,7.0,John showed his expensive handmade outfit from the designer to his longtime friend from Michigan.,John showed his longtime friend from Michigan his expensive handmade outfit from the designer.,1.0,0.0,11
279,93,449,1.0,John left out the rude boy.,John left the rude boy out.,1.0,0.0,12
280,93,322,7.0,Janet drove with a large van for her supplies to advanced economics class on the second floor.,Janet drove to advanced economics class on the second floor with a large van for her supplies.,1.0,0.0,13
282,93,136,4.0,John showed a energetic pop song with a really good chorus to his new visiting exchange roommate.,John showed his new visiting exchange roommate a energetic pop song with a really good chorus.,0.0,1.0,15
283,93,127,1.0,John showed the building with the dome by the famous artist from Italy to the large crowded tour group with maps.,John showed the large crowded tour group with maps the building with the dome by the famous artist from Italy.,0.0,1.0,16
284,93,74,1.0,Melissa gifted for the competition a gold trophy with her name for her performance.,Melissa gifted a gold trophy with her name for her performance for the competition.,0.0,1.0,17
285,93,316,7.0,Janet discussed about a large generous raise during the meeting for speaking with HR for organized projects.,Janet discussed during the meeting for speaking with HR for organized projects about a large generous raise.,0.0,1.0,18
287,93,183,7.0,John sells large houses from a famous architect to immigrants from Texas.,John sells immigrants from Texas large houses from a famous architect.,1.0,0.0,20
288,93,158,2.0,John showed the building by the famous artist to his good trusted friend with an art history degree from Michigan.,John showed his good trusted friend with an art history degree from Michigan the building by the famous artist.,1.0,0.0,21
289,93,128,7.0,John showed the famous art piece to his good friend.,John showed his good friend the famous art piece.,1.0,0.0,22
290,93,297,1.0,Janet negotiatied about the disorganized catastrophic project in the data during the annual charity conference in economics.,Janet negotiatied during the annual charity conference in economics about the disorganized catastrophic project in the data.,1.0,0.0,23
292,93,36,4.0,Melissa enjoyed during the day strenuous courses for her graduate program on astronomy under the famous professor from NASA.,Melissa enjoyed strenuous courses for her graduate program on astronomy under the famous professor from NASA during the day.,0.0,1.0,25
293,93,202,5.0,John showed his silk outfit from the designer to the large group with maps from America.,John showed the large group with maps from America his silk outfit from the designer.,0.0,1.0,26
294,93,247,7.0,John cooked soup with vegetables for his old disabled mother in Miami with Alzheimers.,John cooked his old disabled mother in Miami with Alzheimers soup with vegetables.,0.0,1.0,27
295,93,421,7.0,John threw away the old smelly trash in the black bag from his party.,John threw the old smelly trash in the black bag from his party away.,0.0,1.0,28
299,143,202,3.0,John showed his silk outfit from the designer to the large group with maps from America.,John showed the large group with maps from America his silk outfit from the designer.,0.0,1.0,5
300,143,183,7.0,John sells large houses from a famous architect to immigrants from Texas.,John sells immigrants from Texas large houses from a famous architect.,0.0,1.0,6
301,143,227,5.0,John showed his expensive handmade outfit from the designer to his longtime friend from Michigan.,John showed his longtime friend from Michigan his expensive handmade outfit from the designer.,0.0,1.0,7
302,143,247,7.0,John cooked soup with vegetables for his old disabled mother in Miami with Alzheimers.,John cooked his old disabled mother in Miami with Alzheimers soup with vegetables.,0.0,1.0,8
